產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"紡織纖維","1417","嘉裕","一般","200061","161962","270","741","600","660 ","-9.10 %","-0.81","930","791","1.55",
"紡織纖維","1418","東華","一般","42022","36574","35","1201","1045","963 ","8.50 %","0.47","930","791","1.55",
"紡織纖維","1419","新紡","一般","565014","473603","613","922","773","763 ","1.30 %","2.90","930","791","1.55",
"紡織纖維","1423","利華","一般","36632","30443","47","779","648","634 ","2.20 %","0.81","930","791","1.55",
"運動休閒","1432","大魯閣","一般","330411","268083","617","536","434","432 ","0.50 %","-0.47","1038","894","5.72",
"紡織纖維","1434","福懋","一般","2377245","1984377","3942","603","503","496 ","1.40 %","0.89","930","791","1.55",
"其他","1435","中福","一般","11794","10290","9","1310","1143","878 ","30.20 %","-0.27","1184","1017","3.42",
"建材營造","1436","華友聯","一般","75301","61255","48","1569","1276","1086 ","17.50 %","19.93","1282","1101","2.65",
"其他","1437","勤益控","投控","38636","36085","9","4293","4009","3730 ","7.50 %","3.25","1184","1017","3.42",
"建材營造","1438","三地開發","一般","14651","12255","12","1221","1021","955 ","6.90 %","-1.54","1282","1101","2.65",
"建材營造","1439","雋揚","一般","22701","19381","20","1135","969","1070 ","-9.40 %","1.74","1282","1101","2.65",
"紡織纖維","1440","南紡","一般","693065","578841","916","757","632","563 ","12.30 %","-0.34","930","791","1.55",
"紡織纖維","1441","大東","一般","45215","37781","33","1370","1145","909 ","26.00 %","1.63","930","791","1.55",
"建材營造","1442","名軒","一般","71962","59642","39","1845","1529","1276 ","19.80 %","7.17","1282","1101","2.65",
"其他","1443","立益物流","一般","116766","95063","118","990","806","769 ","4.80 %","1.81","1184","1017","3.42",
"紡織纖維","1444","力麗","一般","657366","529486","951","691","557","501 ","11.20 %","0.28","930","791","1.55",
"紡織纖維","1445","大宇","一般","226852","192412","306","741","629","735 ","-14.40 %","-1.52","930","791","1.55",
"紡織纖維","1446","宏和","一般","41508","36240","41","1012","884","756 ","16.90 %","9.82","930","791","1.55",
"紡織纖維","1447","力鵬","一般","1026817","823698","1289","797","639","561 ","13.90 %","0.04","930","791","1.55",
"紡織纖維","1449","佳和","一般","534213","448669","793","674","566","513 ","10.30 %","0.93","930","791","1.55",
"紡織纖維","1451","年興","一般","360511","293048","438","823","669","530 ","26.20 %","1.22","930","791","1.55",
"紡織纖維","1452","宏益","一般","191291","160584","226","846","711","617 ","15.20 %","0.64","930","791","1.55",
